,,Piano Key #,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,Notes
,Variable Name,Fundamental/Base Note,B3,C 4,Db 4,D 4,Eb 4,E 4,F4,Gb 4,G 4,Ab 4,A 4,Bb 4,B 4,C 5,Db 5,D 5,
Pentatonic Minor Scale: 3-2-2-3-2,,Fundamental Frequency (Hertz),246.9,261.6,277.2,293.7,311.1,329.6,349.2,370.0,392.0,415.3,440.0,466.2,493.9,523.3,554.4,587.3,
,,Hole 1 Note,D4,Eb 4,E4,F4,Gb4,G4,Ab4,A4,Bb4,B4,C5,Db5,D5,Eb 5,E5,F5,
,,Hole 1 Frequency,293.7,311.1,329.6,349.2,370.0,392.0,415.3,440.0,466.2,493.9,523.3,554.4,587.3,622.3,659.3,698.5,
,,Hole 2 Note,E4,F4,Gb4,G4,Ab4,A4,Bb4,B4,C5,Db5,D5,Eb5,E5,F5,Gb5,G5,
,,Hole 2 Frequency,329.6,349.2,370.0,392.0,415.3,440.0,466.2,493.9,523.3,554.4,587.3,622.3,659.3,698.5,740.0,784.0,
,,Hole 3 Note,Gb4,G4,Ab4,A4,Bb4,B4,C5,Db5,D5,Eb5,E5,F5,Gb 5,G5,Ab5,A5,
,,Hole 3 Frequency,370.0,392.0,415.3,440.0,466.2,493.9,523.3,554.4,587.3,622.3,659.3,698.5,740.0,784.0,830.6,880.0,
,,Hole 4 Note,G4,Ab4,A4,Bb4,B4,C5,Db5,D5,Eb5,E5,F5,Gb5,G5,Ab5,A5,Bb5,
,,Hole 4 Frequency,392.0,415.3,440.0,466.2,493.9,523.3,554.4,587.3,622.3,659.3,698.5,740.0,784.0,830.6,880.0,932.3,
,,Hole 5 Note,A4,Bb 4,B4,C5,Db5,D5,Eb5,E5,F5,Gb5,G5,Ab5,A5,Bb 5,B5,C6,
,,Hole 5 Frequency,440.0,466.2,493.9,523.3,554.4,587.3,622.3,659.3,698.5,740.0,784.0,830.6,880.0,932.3,987.8,1046.5,
